Tikr,KPI,Mar_2010,Mar_2011,Mar_2012,Mar_2013,Mar_2014,Mar_2015,Mar_2016,Mar_2017,Mar_2018,Mar_2019,Mar_2020,Mar_2021,TTM,Dec_2009,Dec_2010,Dec_2011,Dec_2012,Dec_2013,Dec_2014,Dec_2015,Dec_2016,Dec_2017,Dec_2018,Dec_2019,Dec_2020,Jun_2010,Jun_2011,Jun_2012,Jun_2013,Jun_2014,Jun_2015,Jun_2016,Jun_2017,Jun_2018,Jun_2019,Jun_2020,Jun_2021,Sep_2009,Sep_2010,Sep_2011,Sep_2012,Sep_2006,Sep_2007,Sep_2008,Mar_2009,Jun_2009,Sep_2013,Sep_2014,Sep_2015,Sep_2016,Sep_2017,Sep_2018,Sep_2019,Sep_2020,Mar_2008,Nov_2009,Dec_2008,Oct_2010,Oct_2011,Oct_2012,Oct_2013,Mar_2007,Mar_2006,Jun_2007,Jun_2008,Mar_2004,Mar_2003
TAJGVK,Interest,12,11,15,22,23,28,31,29,25,22,23,20,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TAJGVK,Depreciation,20,21,22,25,25,25,18,18,17,17,17,17,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TAJGVK,Profit before tax,55,66,43,14,9,-2,15,19,32,38,36,-36,-8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TAJGVK,Tax %,34%,34%,31%,35%,43%,-8%,46%,44%,34%,36%,34%,27%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TAJGVK,Net Profit,36,43,29,9,5,-2,8,10,21,24,24,-26,-6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TAJGVK,EPS in Rs,5.78,6.91,4.68,1.40,0.79,-0.31,1.31,1.66,3.35,3.88,3.80,-4.22,-0.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TAJGVK,Dividend Payout %,35%,29%,32%,36%,25%,0%,31%,24%,18%,15%,0%,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AXISCADES,Sales +,20,37,47,55,181,188,235,235,233,225,232,129,141,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AXISCADES,Expenses +,17,29,38,41,162,159,187,209,226,220,203,126,140,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AXISCADES,Operating Profit,3,9,10,13,19,30,48,26,6,5,29,4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AXISCADES,OPM %,15%,23%,21%,24%,10%,16%,21%,11%,3%,2%,13%,3%,1%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AXISCADES,Other Income,0,0,1,0,2,-2,2,6,4,16,3,-41,-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AXISCADES,Interest,1,2,2,1,4,2,2,2,8,17,20,15,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AXISCADES,Depreciation,1,1,1,2,7,8,9,10,14,9,13,12,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AXISCADES,Profit before tax,1,6,8,10,10,17,40,20,-11,-5,-1,-64,-49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AXISCADES,Tax %,-27%,0%,0%,24%,21%,34%,34%,34%,13%,26%,-345%,1%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AXISCADES,Net Profit,2,6,8,7,8,11,26,13,-9,-4,-4,-63,-49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AXISCADES,EPS in Rs,0.90,3.12,3.80,3.71,4.11,4.16,9.67,3.42,-2.49,-1.06,-1.19,-16.75,-12.98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AXISCADES,Dividend Payout %,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WSTCSTPAPR,Sales +,624,1071,1305,1455,1562,1648,1700,1769,1710,1979,1982,1368,1732,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WSTCSTPAPR,Expenses +,513,832,1079,1186,1353,1403,1450,1431,1348,1470,1501,1170,1427,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WSTCSTPAPR,Operating Profit,111,239,226,269,209,246,250,338,362,509,482,198,305,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WSTCSTPAPR,OPM %,18%,22%,17%,18%,13%,15%,15%,19%,21%,26%,24%,14%,18%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WSTCSTPAPR,Other Income,7,6,-58,-35,5,-49,-46,2,18,21,47,3,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WSTCSTPAPR,Interest,12,56,72,73,73,70,76,52,42,29,72,65,56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WSTCSTPAPR,Depreciation,24,96,143,136,127,122,114,111,116,175,166,153,149,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WSTCSTPAPR,Profit before tax,81,93,-47,25,14,5,14,178,223,325,290,-18,124,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WSTCSTPAPR,Tax %,33%,3%,28%,26%,52%,77%,103%,28%,-0%,9%,5%,112%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WSTCSTPAPR,Net Profit,55,90,-34,18,7,1,-0,128,223,296,276,2,131,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WSTCSTPAPR,EPS in Rs,8.72,14.36,-5.35,2.74,1.00,0.17,-0.07,19.46,33.80,44.82,41.85,0.31,19.87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WSTCSTPAPR,Dividend Payout %,23%,14%,-4%,36%,100%,0%,"-1,405%",13%,12%,11%,12%,322%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BSELINFRA,Sales +,1.39,1.11,1.36,0.96,0.71,0.36,0.64,0.44,0.39,5.16,-0.01,-0.04,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BSELINFRA,Expenses +,3.85,2.04,4.99,1.62,2.30,1.21,1.12,1.06,1.62,21.59,1.87,0.57,0.73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BSELINFRA,Operating Profit,-2.46,-0.93,-3.63,-0.66,-1.59,-0.85,-0.48,-0.62,-1.23,-16.43,-1.88,-0.61,-0.73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BSELINFRA,OPM %,-176.98%,-83.78%,-266.91%,-68.75%,-223.94%,-236.11%,-75.00%,-140.91%,-315.38%,-318.41%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BSELINFRA,Other Income,-1.51,-1.13,0.66,1.12,1.11,2.10,-2.53,5.20,2.01,-3.60,-4.61,2.06,1.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BSELINFRA,Interest,0.92,0.02,0.01,0.00,0.00,0.00,0.03,0.01,0.00,0.00,0.00,0.00,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BSELINFRA,Depreciation,0.11,0.09,0.10,0.18,0.24,0.16,0.16,0.15,0.15,0.14,0.03,0.03,0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BSELINFRA,Profit before tax,-5.00,-2.17,-3.08,0.28,-0.72,1.09,-3.20,4.42,0.63,-20.17,-6.52,1.42,1.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BSELINFRA,Tax %,-2.80%,-17.05%,11.36%,128.57%,-118.06%,55.05%,-10.31%,29.19%,14.29%,-0.15%,-0.31%,64.79%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BSELINFRA,Net Profit,-5.14,-2.54,-2.73,-0.08,-1.57,0.50,-3.53,3.12,0.55,-20.19,-6.54,0.49,-0.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BSELINFRA,EPS in Rs,-0.62,-0.31,-0.33,-0.01,-0.19,0.06,-0.43,0.38,0.07,-2.44,-0.79,0.06,-0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BSELINFRA,Dividend Payout %,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KHANDSE,Sales +,7.81,5.77,3.87,3.68,4.21,4.92,3.42,4.14,3.81,3.64,2.87,3.74,4.80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KHANDSE,Expenses +,8.76,7.61,5.78,4.10,3.87,3.75,3.60,4.91,4.03,5.44,6.15,4.45,5.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KHANDSE,Operating Profit,-0.95,-1.84,-1.91,-0.42,0.34,1.17,-0.18,-0.77,-0.22,-1.80,-3.28,-0.71,-0.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KHANDSE,OPM %,-12.16%,-31.89%,-49.35%,-11.41%,8.08%,23.78%,-5.26%,-18.60%,-5.77%,-49.45%,-114.29%,-18.98%,-11.88%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KHANDSE,Other Income,0.32,3.16,2.12,0.72,0.17,0.15,0.07,0.82,0.03,2.46,0.75,0.03,-0.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KHANDSE,Interest,0.66,0.44,0.40,0.33,0.50,0.53,0.32,0.35,0.28,0.23,0.82,0.74,0.72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KHANDSE,Depreciation,0.46,0.45,0.40,0.33,0.29,0.61,0.29,0.30,0.29,0.28,0.28,0.28,0.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KHANDSE,Profit before tax,-1.75,0.43,-0.59,-0.36,-0.28,0.18,-0.72,-0.60,-0.76,0.15,-3.63,-1.70,-1.74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KHANDSE,Tax %,0.00%,0.00%,6.78%,2.78%,3.57%,-38.89%,1.39%,-1.67%,1.32%,-26.67%,1.10%,2.94%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KHANDSE,Net Profit,-1.75,0.43,-0.55,-0.35,-0.28,0.25,-0.70,-0.61,-0.75,0.19,-3.59,-1.65,-1.70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KHANDSE,EPS in Rs,-1.47,0.36,-0.46,-0.29,-0.23,0.21,-0.59,-0.51,-0.63,0.16,-3.01,-1.38,-1.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KHANDSE,Dividend Payout %,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UNICHEMLAB,Sales +,687,765,803,1005,1044,1091,1221,576,666,968,904,1124,990,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UNICHEMLAB,Expenses +,511,603,676,819,863,989,1078,813,798,1019,994,1028,970,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UNICHEMLAB,Operating Profit,176,161,127,186,181,102,142,-237,-132,-52,-89,95,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UNICHEMLAB,OPM %,26%,21%,16%,18%,17%,9%,12%,-41%,-20%,-5%,-10%,8%,2%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UNICHEMLAB,Other Income,11,8,9,14,84,20,19,366,2737,94,98,47,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UNICHEMLAB,Interest,2,2,3,2,2,2,2,2,3,1,1,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UNICHEMLAB,Depreciation,21,27,28,35,43,38,35,39,45,62,71,76,79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UNICHEMLAB,Profit before tax,164,140,105,162,220,82,124,87,2556,-20,-64,66,-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UNICHEMLAB,Tax %,18%,23%,22%,20%,20%,21%,19%,-19%,-0%,144%,12%,18%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UNICHEMLAB,Net Profit,134,108,82,130,177,64,100,104,2557,9,-56,54,-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UNICHEMLAB,EPS in Rs,14.87,12.02,9.13,14.33,19.52,7.09,11.06,11.43,363.48,1.25,-8.00,7.68,-2.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UNICHEMLAB,Dividend Payout %,27%,33%,33%,31%,41%,28%,18%,26%,1%,320%,-50%,52%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HIKAL,Sales +,536,494,694,660,829,872,926,1014,1296,1590,1507,1720,1922,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HIKAL,Expenses +,359,381,503,476,642,689,745,814,1054,1291,1234,1398,1534,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HIKAL,Operating Profit,177,113,191,185,187,182,181,200,242,298,273,323,387,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HIKAL,OPM %,33%,23%,27%,28%,23%,21%,20%,20%,19%,19%,18%,19%,20%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HIKAL,Other Income,-53,12,-24,-42,34,2,2,1,4,2,-12,5,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HIKAL,Interest,35,41,64,60,68,60,62,48,49,58,52,36,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HIKAL,Depreciation,33,38,42,49,55,64,67,69,86,93,82,85,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HIKAL,Profit before tax,56,46,60,33,98,60,53,83,112,149,127,206,271,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HIKAL,Tax %,-6%,3%,10%,23%,35%,32%,22%,15%,31%,31%,33%,36%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HIKAL,Net Profit,60,44,54,26,64,41,41,71,77,103,84,133,186,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HIKAL,EPS in Rs,4.87,3.59,4.38,2.06,5.19,3.29,3.35,5.73,6.26,8.36,6.85,10.80,15.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HIKAL,Dividend Payout %,22%,22%,18%,16%,12%,20%,20%,14%,13%,14%,18%,19%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TRIDENT,Sales +,1792,2509,2720,3318,3841,3735,3665,4617,4566,5220,4699,4519,5780,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TRIDENT,Expenses +,1438,2111,2420,2763,3109,3074,2935,3732,3714,4242,3858,3705,4523,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TRIDENT,Operating Profit,354,398,300,555,732,661,730,886,852,977,841,814,1256,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TRIDENT,OPM %,20%,16%,11%,17%,19%,18%,20%,19%,19%,19%,18%,18%,22%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TRIDENT,Other Income,23,16,20,22,12,34,33,106,62,46,24,40,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TRIDENT,Interest,110,129,172,235,210,206,145,141,118,112,111,72,81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TRIDENT,Depreciation,174,195,208,261,268,321,337,412,404,364,333,336,345,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TRIDENT,Profit before tax,93,90,-59,81,265,168,282,438,392,547,421,445,877,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TRIDENT,Tax %,39%,26%,26%,39%,26%,30%,14%,23%,32%,32%,19%,22%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TRIDENT,Net Profit,56,67,-44,49,197,118,242,337,266,371,342,346,668,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TRIDENT,EPS in Rs,0.25,0.30,-0.14,0.16,0.63,0.23,0.48,0.66,0.52,0.73,0.67,0.68,1.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TRIDENT,Dividend Payout %,0%,40%,0%,0%,5%,26%,19%,23%,29%,41%,54%,53%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ONWARDTEC,Sales +,35,46,62,67,74,87,89,93,107,118,181,173,200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ONWARDTEC,Expenses +,35,38,51,58,61,77,79,88,103,103,166,153,186,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ONWARDTEC,Operating Profit,-0,8,11,9,12,10,10,5,4,15,15,20,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ONWARDTEC,OPM %,-1%,17%,18%,13%,17%,11%,11%,5%,3%,13%,8%,11%,7%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ONWARDTEC,Other Income,1,1,1,2,1,0,1,7,7,5,7,8,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ONWARDTEC,Interest,2,2,2,2,2,2,2,2,2,2,3,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ONWARDTEC,Depreciation,3,3,3,3,3,5,3,4,5,5,10,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ONWARDTEC,Profit before tax,-5,4,7,5,8,3,6,5,3,13,8,17,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ONWARDTEC,Tax %,30%,0%,-28%,29%,30%,42%,81%,44%,34%,29%,28%,24%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ONWARDTEC,Net Profit,-4,4,9,4,6,2,1,3,2,9,5,13,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ONWARDTEC,EPS in Rs,-2.73,2.79,6.40,2.72,3.94,1.19,0.72,1.95,1.42,5.92,3.38,7.75,5.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ONWARDTEC,Dividend Payout %,0%,0%,0%,0%,0%,0%,138%,51%,71%,25%,44%,39%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HAVELLS,Sales +,2322,2848,3575,4169,4661,5171,5359,6110,8139,10068,9429,10428,12316,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HAVELLS,Expenses +,2009,2507,3107,3630,3990,4445,4371,5284,7087,8840,8364,8845,10506,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HAVELLS,Operating Profit,313,341,468,539,671,726,988,826,1051,1227,1066,1583,1810,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HAVELLS,OPM %,14%,12%,13%,13%,14%,14%,18%,14%,13%,12%,11%,15%,15%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HAVELLS,Other Income,12,18,-5,5,38,51,68,75,127,123,105,188,144,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HAVELLS,Interest,12,19,44,29,51,43,42,12,24,55,51,90,61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HAVELLS,Depreciation,23,29,45,58,64,88,105,120,140,149,218,249,253,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HAVELLS,Profit before tax,290,310,374,457,595,646,909,769,1015,1146,902,1432,1640,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HAVELLS,Tax %,21%,22%,18%,19%,20%,28%,22%,30%,30%,31%,19%,27%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HAVELLS,Net Profit,228,242,305,371,479,465,712,539,713,787,733,1040,1187,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HAVELLS,EPS in Rs,3.79,3.88,4.90,5.95,7.67,7.45,11.40,8.63,11.40,12.59,11.71,16.61,18.96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HAVELLS,Dividend Payout %,10%,13%,27%,25%,39%,40%,53%,41%,35%,36%,34%,39%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SHIRPUR-G,Sales +,0,198,2555,4047,1744,3221,3895,1699,1954,1895,541,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SHIRPUR-G,Expenses +,1,204,2544,3999,1687,3143,3817,1669,1920,1863,642,213,140.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SHIRPUR-G,Operating Profit,-1,-6,10,48,57,79,78,30,34,32,-102,-213,-140.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SHIRPUR-G,OPM %,,-3%,0%,1%,3%,2%,2%,2%,2%,2%,-19%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SHIRPUR-G,Other Income,2,2,4,2,0,1,4,8,3,-1,2,0,-23.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SHIRPUR-G,Interest,0,2,14,31,34,49,55,23,25,20,41,40,39.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SHIRPUR-G,Depreciation,16,16,16,16,16,9,7,7,7,7,6,6,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SHIRPUR-G,Profit before tax,-16,-23,-16,2,6,22,20,8,5,4,-147,-259,-208.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SHIRPUR-G,Tax %,35%,6%,11%,-29%,8%,29%,33%,41%,39%,32%,0%,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SHIRPUR-G,Net Profit,-10,-22,-14,2,6,15,14,5,3,3,-147,-259,-208.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SHIRPUR-G,EPS in Rs,,-7.61,-4.86,0.78,1.99,5.30,4.72,1.66,1.04,0.94,-50.61,-88.75,-71.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
